Grid Scores:

0.680 (+/-0.066) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': True, 'random_state': 0, 'criterion': 'gini'}
0.683 (+/-0.076) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
0.679 (+/-0.078) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': True, 'random_state': 20, 'criterion': 'gini'}
0.688 (+/-0.076) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': True, 'random_state': 30, 'criterion': 'gini'}
0.680 (+/-0.066) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': False, 'random_state': 0, 'criterion': 'gini'}
0.683 (+/-0.076) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': False, 'random_state': 10, 'criterion': 'gini'}
0.679 (+/-0.078) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': False, 'random_state': 20, 'criterion': 'gini'}
0.688 (+/-0.076) for {'max_features': 'log2', 'n_estimators': 500, 'oob_score': False, 'random_state': 30, 'criterion': 'gini'}
0.678 (+/-0.080) for {'max_features': None, 'n_estimators': 50, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.674 (+/-0.089) for {'max_features': None, 'n_estimators': 50, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.674 (+/-0.077) for {'max_features': None, 'n_estimators': 50, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.679 (+/-0.120) for {'max_features': None, 'n_estimators': 50, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.678 (+/-0.080) for {'max_features': None, 'n_estimators': 50, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.674 (+/-0.089) for {'max_features': None, 'n_estimators': 50, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.674 (+/-0.077) for {'max_features': None, 'n_estimators': 50, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.679 (+/-0.120) for {'max_features': None, 'n_estimators': 50, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.679 (+/-0.094) for {'max_features': None, 'n_estimators': 100, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.669 (+/-0.084) for {'max_features': None, 'n_estimators': 100, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.686 (+/-0.087) for {'max_features': None, 'n_estimators': 100, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.676 (+/-0.083) for {'max_features': None, 'n_estimators': 100, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.679 (+/-0.094) for {'max_features': None, 'n_estimators': 100, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.669 (+/-0.084) for {'max_features': None, 'n_estimators': 100, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.686 (+/-0.087) for {'max_features': None, 'n_estimators': 100, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.676 (+/-0.083) for {'max_features': None, 'n_estimators': 100, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.688 (+/-0.102) for {'max_features': None, 'n_estimators': 200, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.673 (+/-0.093) for {'max_features': None, 'n_estimators': 200, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.683 (+/-0.082) for {'max_features': None, 'n_estimators': 200, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.690 (+/-0.091) for {'max_features': None, 'n_estimators': 200, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.688 (+/-0.102) for {'max_features': None, 'n_estimators': 200, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.673 (+/-0.093) for {'max_features': None, 'n_estimators': 200, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.683 (+/-0.082) for {'max_features': None, 'n_estimators': 200, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
0.690 (+/-0.091) for {'max_features': None, 'n_estimators': 200, 'oob_score': False, 'random_state': 30, 'criterion': 'entropy'}
0.676 (+/-0.102) for {'max_features': None, 'n_estimators': 500, 'oob_score': True, 'random_state': 0, 'criterion': 'entropy'}
0.666 (+/-0.091) for {'max_features': None, 'n_estimators': 500, 'oob_score': True, 'random_state': 10, 'criterion': 'entropy'}
0.674 (+/-0.096) for {'max_features': None, 'n_estimators': 500, 'oob_score': True, 'random_state': 20, 'criterion': 'entropy'}
0.688 (+/-0.094) for {'max_features': None, 'n_estimators': 500, 'oob_score': True, 'random_state': 30, 'criterion': 'entropy'}
0.676 (+/-0.102) for {'max_features': None, 'n_estimators': 500, 'oob_score': False, 'random_state': 0, 'criterion': 'entropy'}
0.666 (+/-0.091) for {'max_features': None, 'n_estimators': 500, 'oob_score': False, 'random_state': 10, 'criterion': 'entropy'}
0.674 (+/-0.096) for {'max_features': None, 'n_estimators': 500, 'oob_score': False, 'random_state': 20, 'criterion': 'entropy'}
